Product_Name,Price_Cleaned,Rating_Numeric,Product_Name_Upper,Product_Name_Lower,Product_ID
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,"OUR BAND COULD BE YOUR LIFE: SCENES FROM THE AMERICAN INDIE UNDERGROUND, 1981-1991","our band could be your life: scenes from the american indie underground, 1981-1991",PROD1015
Olio,23.88,1,OLIO,olio,PROD1016
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,MESAERION: THE BEST SCIENCE FICTION STORIES 1800-1849,mesaerion: the best science fiction stories 1800-1849,PROD1017
Libertarianism for Beginners,51.33,2,LIBERTARIANISM FOR BEGINNERS,libertarianism for beginners,PROD1018
It's Only the Himalayas,45.17,2,IT'S ONLY THE HIMALAYAS,it's only the himalayas,PROD1019
In Her Wake,12.84,1,IN HER WAKE,in her wake,PROD1020
How Music Works,37.32,2,HOW MUSIC WORKS,how music works,PROD1021
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,"FOOLPROOF PRESERVING: A GUIDE TO SMALL BATCH JAMS, JELLIES, PICKLES, CONDIMENTS, AND MORE: A FOOLPROOF GUIDE TO MAKING SMALL BATCH JAMS, JELLIES, PICKLES, CONDIMENTS, AND MORE","foolproof preserving: a guide to small batch jams, jellies, pickles, condiments, and more: a foolproof guide to making small batch jams, jellies, pickles, condiments, and more",PROD1022
Chase Me (Paris Nights #2),25.27,5,CHASE ME (PARIS NIGHTS #2),chase me (paris nights #2),PROD1023
Black Dust,34.53,5,BLACK DUST,black dust,PROD1024
Birdsong: A Story in Pictures,54.64,3,BIRDSONG: A STORY IN PICTURES,birdsong: a story in pictures,PROD1025
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,AMERICA'S CRADLE OF QUARTERBACKS: WESTERN PENNSYLVANIA'S FOOTBALL FACTORY FROM JOHNNY UNITAS TO JOE MONTANA,america's cradle of quarterbacks: western pennsylvania's football factory from johnny unitas to joe montana,PROD1026
Aladdin and His Wonderful Lamp,53.13,3,ALADDIN AND HIS WONDERFUL LAMP,aladdin and his wonderful lamp,PROD1027
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,WORLDS ELSEWHERE: JOURNEYS AROUND SHAKESPEARE’S GLOBE,worlds elsewhere: journeys around shakespeare’s globe,PROD1028
Wall and Piece,44.18,4,WALL AND PIECE,wall and piece,PROD1029
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,THE FOUR AGREEMENTS: A PRACTICAL GUIDE TO PERSONAL FREEDOM,the four agreements: a practical guide to personal freedom,PROD1030
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,THE FIVE LOVE LANGUAGES: HOW TO EXPRESS HEARTFELT COMMITMENT TO YOUR MATE,the five love languages: how to express heartfelt commitment to your mate,PROD1031
The Elephant Tree,23.82,5,THE ELEPHANT TREE,the elephant tree,PROD1032
The Bear and the Piano,36.89,1,THE BEAR AND THE PIANO,the bear and the piano,PROD1033
Sophie's World,15.94,5,SOPHIE'S WORLD,sophie's world,PROD1034
Penny Maybe,33.29,3,PENNY MAYBE,penny maybe,PROD1035
Maude (1883-1993):She Grew Up with the country,18.02,2,MAUDE (1883-1993):SHE GREW UP WITH THE COUNTRY,maude (1883-1993):she grew up with the country,PROD1036
"In a Dark, Dark Wood",19.63,1,"IN A DARK, DARK WOOD","in a dark, dark wood",PROD1037
Behind Closed Doors,52.22,4,BEHIND CLOSED DOORS,behind closed doors,PROD1038
You can't bury them all: Poems,33.63,2,YOU CAN'T BURY THEM ALL: POEMS,you can't bury them all: poems,PROD1039
Slow States of Collapse: Poems,57.31,3,SLOW STATES OF COLLAPSE: POEMS,slow states of collapse: poems,PROD1040
Reasons to Stay Alive,26.41,2,REASONS TO STAY ALIVE,reasons to stay alive,PROD1041
Private Paris (Private #10),47.61,5,PRIVATE PARIS (PRIVATE #10),private paris (private #10),PROD1042
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,#HIGHERSELFIE: WAKE UP YOUR LIFE. FREE YOUR SOUL. FIND YOUR TRIBE.,#higherselfie: wake up your life. free your soul. find your tribe.,PROD1043
Without Borders (Wanderlove #1),45.07,2,WITHOUT BORDERS (WANDERLOVE #1),without borders (wanderlove #1),PROD1044
When We Collided,31.77,1,WHEN WE COLLIDED,when we collided,PROD1045
"We Love You, Charlie Freeman",50.27,5,"WE LOVE YOU, CHARLIE FREEMAN","we love you, charlie freeman",PROD1046
Untitled Collection: Sabbath Poems 2014,14.27,4,UNTITLED COLLECTION: SABBATH POEMS 2014,untitled collection: sabbath poems 2014,PROD1047
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,"UNSEEN CITY: THE MAJESTY OF PIGEONS, THE DISCREET CHARM OF SNAILS & OTHER WONDERS OF THE URBAN WILDERNESS","unseen city: the majesty of pigeons, the discreet charm of snails & other wonders of the urban wilderness",PROD1048
Unicorn Tracks,18.78,3,UNICORN TRACKS,unicorn tracks,PROD1049
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,"UNBOUND: HOW EIGHT TECHNOLOGIES MADE US HUMAN, TRANSFORMED SOCIETY, AND BROUGHT OUR WORLD TO THE BRINK","unbound: how eight technologies made us human, transformed society, and brought our world to the brink",PROD1050
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,TSUBASA: WORLD CHRONICLE 2 (TSUBASA WORLD CHRONICLE #2),tsubasa: world chronicle 2 (tsubasa world chronicle #2),PROD1051
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,THROWING ROCKS AT THE GOOGLE BUS: HOW GROWTH BECAME THE ENEMY OF PROSPERITY,throwing rocks at the google bus: how growth became the enemy of prosperity,PROD1052
This One Summer,19.49,4,THIS ONE SUMMER,this one summer,PROD1053
Thirst,17.27,5,THIRST,thirst,PROD1054
The Torch Is Passed: A Harding Family Story,19.09,1,THE TORCH IS PASSED: A HARDING FAMILY STORY,the torch is passed: a harding family story,PROD1055
The Secret of Dreadwillow Carse,56.13,1,THE SECRET OF DREADWILLOW CARSE,the secret of dreadwillow carse,PROD1056
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,"THE PIONEER WOMAN COOKS: DINNERTIME: COMFORT CLASSICS, FREEZER FOOD, 16-MINUTE MEALS, AND OTHER DELICIOUS WAYS TO SOLVE SUPPER!","the pioneer woman cooks: dinnertime: comfort classics, freezer food, 16-minute meals, and other delicious ways to solve supper!",PROD1057
The Past Never Ends,56.5,4,THE PAST NEVER ENDS,the past never ends,PROD1058
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,THE NATURAL HISTORY OF US (THE FINE ART OF PRETENDING #2),the natural history of us (the fine art of pretending #2),PROD1059
The Nameless City (The Nameless City #1),38.16,4,THE NAMELESS CITY (THE NAMELESS CITY #1),the nameless city (the nameless city #1),PROD1060
The Murder That Never Was (Forensic Instincts #5),54.11,3,THE MURDER THAT NEVER WAS (FORENSIC INSTINCTS #5),the murder that never was (forensic instincts #5),PROD1061
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,THE MOST PERFECT THING: INSIDE (AND OUTSIDE) A BIRD'S EGG,the most perfect thing: inside (and outside) a bird's egg,PROD1062
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,"THE MINDFULNESS AND ACCEPTANCE WORKBOOK FOR ANXIETY: A GUIDE TO BREAKING FREE FROM ANXIETY, PHOBIAS, AND WORRY USING ACCEPTANCE AND COMMITMENT THERAPY","the mindfulness and acceptance workbook for anxiety: a guide to breaking free from anxiety, phobias, and worry using acceptance and commitment therapy",PROD1063
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,THE LIFE-CHANGING MAGIC OF TIDYING UP: THE JAPANESE ART OF DECLUTTERING AND ORGANIZING,the life-changing magic of tidying up: the japanese art of decluttering and organizing,PROD1064
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,"THE INEFFICIENCY ASSASSIN: TIME MANAGEMENT TACTICS FOR WORKING SMARTER, NOT LONGER","the inefficiency assassin: time management tactics for working smarter, not longer",PROD1065
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,THE GUTSY GIRL: ESCAPADES FOR YOUR LIFE OF EPIC ADVENTURE,the gutsy girl: escapades for your life of epic adventure,PROD1066
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,THE ELECTRIC PENCIL: DRAWINGS FROM INSIDE STATE HOSPITAL NO. 3,the electric pencil: drawings from inside state hospital no. 3,PROD1067
The Death of Humanity: and the Case for Life,58.11,4,THE DEATH OF HUMANITY: AND THE CASE FOR LIFE,the death of humanity: and the case for life,PROD1068
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,"THE BULLETPROOF DIET: LOSE UP TO A POUND A DAY, RECLAIM ENERGY AND FOCUS, UPGRADE YOUR LIFE","the bulletproof diet: lose up to a pound a day, reclaim energy and focus, upgrade your life",PROD1069
The Art Forger,40.76,3,THE ART FORGER,the art forger,PROD1070
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,THE AGE OF GENIUS: THE SEVENTEENTH CENTURY AND THE BIRTH OF THE MODERN MIND,the age of genius: the seventeenth century and the birth of the modern mind,PROD1071
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,THE ACTIVIST'S TAO TE CHING: ANCIENT ADVICE FOR A MODERN REVOLUTION,the activist's tao te ching: ancient advice for a modern revolution,PROD1072
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,SPARK JOY: AN ILLUSTRATED MASTER CLASS ON THE ART OF ORGANIZING AND TIDYING UP,spark joy: an illustrated master class on the art of organizing and tidying up,PROD1073
Soul Reader,39.58,2,SOUL READER,soul reader,PROD1074
Security,39.25,2,SECURITY,security,PROD1075
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,"SAGA, VOLUME 6 (SAGA (COLLECTED EDITIONS) #6)","saga, volume 6 (saga (collected editions) #6)",PROD1076
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,"SAGA, VOLUME 5 (SAGA (COLLECTED EDITIONS) #5)","saga, volume 5 (saga (collected editions) #5)",PROD1077
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,RESKILLING AMERICA: LEARNING TO LABOR IN THE TWENTY-FIRST CENTURY,reskilling america: learning to labor in the twenty-first century,PROD1078
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,"RAT QUEENS, VOL. 3: DEMONS (RAT QUEENS (COLLECTED EDITIONS) #11-15)","rat queens, vol. 3: demons (rat queens (collected editions) #11-15)",PROD1079
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,"PRINCESS JELLYFISH 2-IN-1 OMNIBUS, VOL. 01 (PRINCESS JELLYFISH 2-IN-1 OMNIBUS #1)","princess jellyfish 2-in-1 omnibus, vol. 01 (princess jellyfish 2-in-1 omnibus #1)",PROD1080
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,PRINCESS BETWEEN WORLDS (WIDE-AWAKE PRINCESS #5),princess between worlds (wide-awake princess #5),PROD1081
"Pop Gun War, Volume 1: Gift",18.97,1,"POP GUN WAR, VOLUME 1: GIFT","pop gun war, volume 1: gift",PROD1082
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,"POLITICAL SUICIDE: MISSTEPS, PECCADILLOES, BAD CALLS, BACKROOM HIJINX, SORDID PASTS, ROTTEN BREAKS, AND JUST PLAIN DUMB MISTAKES IN THE ANNALS OF AMERICAN POLITICS","political suicide: missteps, peccadilloes, bad calls, backroom hijinx, sordid pasts, rotten breaks, and just plain dumb mistakes in the annals of american politics",PROD1083
Patience,10.16,3,PATIENCE,patience,PROD1084
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,"OUTCAST, VOL. 1: A DARKNESS SURROUNDS HIM (OUTCAST #1)","outcast, vol. 1: a darkness surrounds him (outcast #1)",PROD1085
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,ORANGE: THE COMPLETE COLLECTION 1 (ORANGE: THE COMPLETE COLLECTION #1),orange: the complete collection 1 (orange: the complete collection #1),PROD1086
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,ONLINE MARKETING FOR BUSY AUTHORS: A STEP-BY-STEP GUIDE,online marketing for busy authors: a step-by-step guide,PROD1087
On a Midnight Clear,14.07,3,ON A MIDNIGHT CLEAR,on a midnight clear,PROD1088
Obsidian (Lux #1),14.86,2,OBSIDIAN (LUX #1),obsidian (lux #1),PROD1089
My Paris Kitchen: Recipes and Stories,33.37,2,MY PARIS KITCHEN: RECIPES AND STORIES,my paris kitchen: recipes and stories,PROD1090
Masks and Shadows,56.4,2,MASKS AND SHADOWS,masks and shadows,PROD1091
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,"MAMA TRIED: TRADITIONAL ITALIAN COOKING FOR THE SCREWED, CRUDE, VEGAN, AND TATTOOED","mama tried: traditional italian cooking for the screwed, crude, vegan, and tattooed",PROD1092
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,"LUMBERJANES, VOL. 2: FRIENDSHIP TO THE MAX (LUMBERJANES #5-8)","lumberjanes, vol. 2: friendship to the max (lumberjanes #5-8)",PROD1093
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,"LUMBERJANES, VOL. 1: BEWARE THE KITTEN HOLY (LUMBERJANES #1-4)","lumberjanes, vol. 1: beware the kitten holy (lumberjanes #1-4)",PROD1094
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,LUMBERJANES VOL. 3: A TERRIBLE PLAN (LUMBERJANES #9-12),lumberjanes vol. 3: a terrible plan (lumberjanes #9-12),PROD1095
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,"LAYERED: BAKING, BUILDING, AND STYLING SPECTACULAR CAKES","layered: baking, building, and styling spectacular cakes",PROD1096
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,JUDO: SEVEN STEPS TO BLACK BELT (AN INTRODUCTORY GUIDE FOR BEGINNERS),judo: seven steps to black belt (an introductory guide for beginners),PROD1097
Join,35.67,5,JOIN,join,PROD1098
In the Country We Love: My Family Divided,22.0,4,IN THE COUNTRY WE LOVE: MY FAMILY DIVIDED,in the country we love: my family divided,PROD1099
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,IMMUNITY: HOW ELIE METCHNIKOFF CHANGED THE COURSE OF MODERN MEDICINE,immunity: how elie metchnikoff changed the course of modern medicine,PROD1100
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,"I HATE FAIRYLAND, VOL. 1: MADLY EVER AFTER (I HATE FAIRYLAND (COMPILATIONS) #1-5)","i hate fairyland, vol. 1: madly ever after (i hate fairyland (compilations) #1-5)",PROD1101
I am a Hero Omnibus Volume 1,54.63,3,I AM A HERO OMNIBUS VOLUME 1,i am a hero omnibus volume 1,PROD1102
How to Be Miserable: 40 Strategies You Already Use,46.03,1,HOW TO BE MISERABLE: 40 STRATEGIES YOU ALREADY USE,how to be miserable: 40 strategies you already use,PROD1103
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,HER BACKUP BOYFRIEND (THE SORENSEN FAMILY #1),her backup boyfriend (the sorensen family #1),PROD1104
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,"GIANT DAYS, VOL. 2 (GIANT DAYS #5-8)","giant days, vol. 2 (giant days #5-8)",PROD1105
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,FOREVER AND FOREVER: THE COURTSHIP OF HENRY LONGFELLOW AND FANNY APPLETON,forever and forever: the courtship of henry longfellow and fanny appleton,PROD1106
First and First (Five Boroughs #3),15.97,4,FIRST AND FIRST (FIVE BOROUGHS #3),first and first (five boroughs #3),PROD1107
Fifty Shades Darker (Fifty Shades #2),21.96,1,FIFTY SHADES DARKER (FIFTY SHADES #2),fifty shades darker (fifty shades #2),PROD1108
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,EVERYDATA: THE MISINFORMATION HIDDEN IN THE LITTLE DATA YOU CONSUME EVERY DAY,everydata: the misinformation hidden in the little data you consume every day,PROD1109
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,"DON'T BE A JERK: AND OTHER PRACTICAL ADVICE FROM DOGEN, JAPAN'S GREATEST ZEN MASTER","don't be a jerk: and other practical advice from dogen, japan's greatest zen master",PROD1110
Danganronpa Volume 1,51.99,4,DANGANRONPA VOLUME 1,danganronpa volume 1,PROD1111
Crown of Midnight (Throne of Glass #2),43.29,3,CROWN OF MIDNIGHT (THRONE OF GLASS #2),crown of midnight (throne of glass #2),PROD1112
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,"CODENAME BABOUSHKA, VOLUME 1: THE CONCLAVE OF DEATH","codename baboushka, volume 1: the conclave of death",PROD1113
Camp Midnight,17.08,4,CAMP MIDNIGHT,camp midnight,PROD1114
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,CALL THE NURSE: TRUE STORIES OF A COUNTRY NURSE ON A SCOTTISH ISLE,call the nurse: true stories of a country nurse on a scottish isle,PROD1115
Burning,28.81,3,BURNING,burning,PROD1116
Bossypants,49.46,2,BOSSYPANTS,bossypants,PROD1117
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,"BITCH PLANET, VOL. 1: EXTRAORDINARY MACHINE (BITCH PLANET (COLLECTED EDITIONS))","bitch planet, vol. 1: extraordinary machine (bitch planet (collected editions))",PROD1118
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,"AVATAR: THE LAST AIRBENDER: SMOKE AND SHADOW, PART 3 (SMOKE AND SHADOW #3)","avatar: the last airbender: smoke and shadow, part 3 (smoke and shadow #3)",PROD1119
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,ALGORITHMS TO LIVE BY: THE COMPUTER SCIENCE OF HUMAN DECISIONS,algorithms to live by: the computer science of human decisions,PROD1120
A World of Flavor: Your Gluten Free Passport,42.95,1,A WORLD OF FLAVOR: YOUR GLUTEN FREE PASSPORT,a world of flavor: your gluten free passport,PROD1121
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,"A PIECE OF SKY, A GRAIN OF RICE: A MEMOIR IN FOUR MEDITATIONS","a piece of sky, a grain of rice: a memoir in four meditations",PROD1122
A Murder in Time,16.64,1,A MURDER IN TIME,a murder in time,PROD1123
A Flight of Arrows (The Pathfinders #2),55.53,5,A FLIGHT OF ARROWS (THE PATHFINDERS #2),a flight of arrows (the pathfinders #2),PROD1124
A Fierce and Subtle Poison,28.13,4,A FIERCE AND SUBTLE POISON,a fierce and subtle poison,PROD1125
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,A COURT OF THORNS AND ROSES (A COURT OF THORNS AND ROSES #1),a court of thorns and roses (a court of thorns and roses #1),PROD1126
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,(UN)QUALIFIED: HOW GOD USES BROKEN PEOPLE TO DO BIG THINGS,(un)qualified: how god uses broken people to do big things,PROD1127
You Are What You Love: The Spiritual Power of Habit,21.87,4,YOU ARE WHAT YOU LOVE: THE SPIRITUAL POWER OF HABIT,you are what you love: the spiritual power of habit,PROD1128
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,"WILLIAM SHAKESPEARE'S STAR WARS: VERILY, A NEW HOPE (WILLIAM SHAKESPEARE'S STAR WARS #4)","william shakespeare's star wars: verily, a new hope (william shakespeare's star wars #4)",PROD1129
Tuesday Nights in 1980,21.04,2,TUESDAY NIGHTS IN 1980,tuesday nights in 1980,PROD1130
Tracing Numbers on a Train,41.6,3,TRACING NUMBERS ON A TRAIN,tracing numbers on a train,PROD1131
Throne of Glass (Throne of Glass #1),35.07,3,THRONE OF GLASS (THRONE OF GLASS #1),throne of glass (throne of glass #1),PROD1132
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,THOMAS JEFFERSON AND THE TRIPOLI PIRATES: THE FORGOTTEN WAR THAT CHANGED AMERICAN HISTORY,thomas jefferson and the tripoli pirates: the forgotten war that changed american history,PROD1133
Thirteen Reasons Why,52.72,1,THIRTEEN REASONS WHY,thirteen reasons why,PROD1134
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,THE WHITE CAT AND THE MONK: A RETELLING OF THE POEM “PANGUR BÁN”,the white cat and the monk: a retelling of the poem “pangur bán”,PROD1135
The Wedding Dress,24.12,1,THE WEDDING DRESS,the wedding dress,PROD1136
The Vacationers,42.15,4,THE VACATIONERS,the vacationers,PROD1137
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,THE THIRD WAVE: AN ENTREPRENEUR’S VISION OF THE FUTURE,the third wave: an entrepreneur’s vision of the future,PROD1138
The Stranger,17.44,4,THE STRANGER,the stranger,PROD1139
The Shadow Hero (The Shadow Hero),33.14,1,THE SHADOW HERO (THE SHADOW HERO),the shadow hero (the shadow hero),PROD1140
The Secret (The Secret #1),27.37,4,THE SECRET (THE SECRET #1),the secret (the secret #1),PROD1141
The Regional Office Is Under Attack!,51.36,5,THE REGIONAL OFFICE IS UNDER ATTACK!,the regional office is under attack!,PROD1142
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,THE PSYCHOPATH TEST: A JOURNEY THROUGH THE MADNESS INDUSTRY,the psychopath test: a journey through the madness industry,PROD1143
The Project,10.65,1,THE PROJECT,the project,PROD1144
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,THE POWER OF NOW: A GUIDE TO SPIRITUAL ENLIGHTENMENT,the power of now: a guide to spiritual enlightenment,PROD1145
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,THE OMNIVORE'S DILEMMA: A NATURAL HISTORY OF FOUR MEALS,the omnivore's dilemma: a natural history of four meals,PROD1146
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,THE NERDY NUMMIES COOKBOOK: SWEET TREATS FOR THE GEEK IN ALL OF US,the nerdy nummies cookbook: sweet treats for the geek in all of us,PROD1147
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,THE MURDER OF ROGER ACKROYD (HERCULE POIROT #4),the murder of roger ackroyd (hercule poirot #4),PROD1148
The Mistake (Off-Campus #2),43.29,3,THE MISTAKE (OFF-CAMPUS #2),the mistake (off-campus #2),PROD1149
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,THE MATCHMAKER'S PLAYBOOK (WINGMEN INC. #1),the matchmaker's playbook (wingmen inc. #1),PROD1150
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,THE LOVE AND LEMONS COOKBOOK: AN APPLE-TO-ZUCCHINI CELEBRATION OF IMPROMPTU COOKING,the love and lemons cookbook: an apple-to-zucchini celebration of impromptu cooking,PROD1151
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,THE LONG SHADOW OF SMALL GHOSTS: MURDER AND MEMORY IN AN AMERICAN CITY,the long shadow of small ghosts: murder and memory in an american city,PROD1152
The Kite Runner,41.82,4,THE KITE RUNNER,the kite runner,PROD1153
The House by the Lake,36.95,1,THE HOUSE BY THE LAKE,the house by the lake,PROD1154
The Glittering Court (The Glittering Court #1),44.28,1,THE GLITTERING COURT (THE GLITTERING COURT #1),the glittering court (the glittering court #1),PROD1155
The Girl on the Train,55.02,2,THE GIRL ON THE TRAIN,the girl on the train,PROD1156
The Genius of Birds,17.24,1,THE GENIUS OF BIRDS,the genius of birds,PROD1157
The Emerald Mystery,23.15,2,THE EMERALD MYSTERY,the emerald mystery,PROD1158
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,THE COOKIES & CUPS COOKBOOK: 125+ SWEET & SAVORY RECIPES REMINDING YOU TO ALWAYS EAT DESSERT FIRST,the cookies & cups cookbook: 125+ sweet & savory recipes reminding you to always eat dessert first,PROD1159
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,THE BRIDGE TO CONSCIOUSNESS: I'M WRITING THE BRIDGE BETWEEN SCIENCE AND OUR OLD AND NEW BELIEFS.,the bridge to consciousness: i'm writing the bridge between science and our old and new beliefs.,PROD1160
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,THE ARTIST'S WAY: A SPIRITUAL PATH TO HIGHER CREATIVITY,the artist's way: a spiritual path to higher creativity,PROD1161
The Art of War,33.34,5,THE ART OF WAR,the art of war,PROD1162
The Argonauts,10.93,2,THE ARGONAUTS,the argonauts,PROD1163
